name,type,notranslate,comment,value,en
"mainfo,tgroupbox1,nostring,frame.caption",vaString,F,,no string,no string
"mainfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name,Name
"mainfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Type,Type
"mainfo,grid,fixrows.items,0:,captions.items,3:,caption",vaString,F,,Comment,Comment
"mainfo,grid,fixrows.items,0:,captions.items,4:,caption",vaString,F,,Value,Value
"mainfo,flat,frame.caption",vaString,F,,flat,flat
"mainfo,stringonly,frame.caption",vaString,F,,string only,string only
"mainfo,nont,frame.caption",vaString,F,,no NT,no NT
"mainfo,ntonly,frame.caption",vaString,F,,NT only,NT only
"mainfo,coloron,frame.caption",vaString,F,,show color,show color
"mainfo,workpan,value",vaString,F,,Working...,Working...
"mainfo,mainmenu1,menu.submenu.items,0:,caption",vaString,F,,&Open,&Open
"mainfo,mainmenu1,menu.submenu.items,1:,caption",vaString,F,,&Save,&Save
"mainfo,mainmenu1,menu.submenu.items,2:,caption",vaString,F,,Save &as,Save &as
"mainfo,mainmenu1,menu.submenu.items,3:,caption",vaString,F,,&New,&New
"mainfo,mainmenu1,menu.submenu.items,4:,caption",vaString,F,,&Edit,&Edit
"mainfo,mainmenu1,menu.submenu.items,4:,hint",vaString,F,,Edit project options,Edit project options
"mainfo,mainmenu1,menu.submenu.items,5:,caption",vaString,F,,&Import,&Import
"mainfo,mainmenu1,menu.submenu.items,6:,caption",vaString,F,,Ex&port,Ex&port
"mainfo,mainmenu1,menu.submenu.items,7:,caption",vaString,F,,&Make,&Make
"mainfo,mainmenu1,menu.submenu.items,8:,submenu.items,0:,caption",vaString,F,,&About,&About
"mainfo,mainmenu1,menu.submenu.items,8:,submenu.items,1:,caption",vaString,F,,&Configure MSEi18n,&Configure MSEi18n
"mainfo,mainmenu1,menu.submenu.items,8:,submenu.items,2:,caption",vaString,F,,&Reset,&Reset
"mainfo,mainmenu1,menu.submenu.items,8:,submenu.items,2:,hint",vaString,F,,Reset translated words to root value,Reset translated words to root value
"mainfo,mainmenu1,menu.submenu.items,8:,caption",vaString,F,,Se&ttings,Se&ttings
"mainfo,mainmenu1,menu.submenu.items,9:,caption",vaString,F,,&Refresh,&Refresh
"mainfo,mainmenu1,menu.submenu.items,10:,caption",vaString,F,,E&xit,E&xit
"mainfo,projectfiledialog,controller.filterlist.data,0:,0:",vaString,F,,Translate project,Translate project
"mainfo,projectfiledialog,controller.captionopen",vaString,F,,Open translate project,Open translate project
"mainfo,projectfiledialog,controller.captionsave",vaString,F,,Save translate project,Save translate project
"mainfo,c,strings.data,0:",vaString,F,,name,name
"mainfo,c,strings.data,1:",vaString,F,,type,type
"mainfo,c,strings.data,2:",vaString,F,,notranslate,notranslate
"mainfo,c,strings.data,3:",vaString,F,,comment,comment
"mainfo,c,strings.data,4:",vaString,F,,value,value
"mainfo,c,strings.data,5:",vaString,F,,[no project],[no project]
"mainfo,c,strings.data,6:",vaString,F,,Can not read module,Can not read module
"mainfo,c,strings.data,7:",vaString,F,,New translate project,New translate project
"mainfo,c,strings.data,8:",vaString,F,,Exec error,Exec error
"mainfo,c,strings.data,9:",vaString,F,,Making,Making
